Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KHM,Cambodia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.84,..,..,..,..,..,..,..,..,..,3.84,..,..,..,..,..,..,..,..,..,..,..
KIR,Kiribati,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,96.67,..,..,..,..,..,..,..,..,..,96.67,..,..,..,..,..,..,..,..,..,..,..
KNA,St. Kitts and Nevis,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,19.02,..,..,..,..,..,..,..,..,..,19.02,..,..,..,..,..,..,..,..,..,..,..
KOR,"Korea, Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.3,..,..,..,..,..,..,..,..,..,4.3,..,..,..,..,..,..,..,..,..,..,..
KSV,Kosovo,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
KWT,Kuwait,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,8.86,..,..,..,..,..,..,..,..,..,8.86,..,..,..,..,..,..,..,..,..,..,..
LAC,Latin America & Caribbean,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.51,..,..,..,..,..,..,..,..,..,1.51,..,..,..,..,..,..,..,..,..,..,..
LAO,Lao PDR,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
LBN,Lebanon,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.74,..,..,..,..,..,..,..,..,..,1.74,..,..,..,..,..,..,..,..,..,..,..
LBR,Liberia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.35,..,..,..,..,..,..,..,..,..,0.35,..,..,..,..,..,..,..,..,..,..,..
LBY,Libya,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.78,..,..,..,..,..,..,..,..,..,0.78,..,..,..,..,..,..,..,..,..,..,..
LCA,St. Lucia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,8.02,..,..,..,..,..,..,..,..,..,8.02,..,..,..,..,..,..,..,..,..,..,..
