year,state,month,number,date
2003,Amapa,jun,0,1/1/03
2004,Amapa,jun,5,1/1/04
2005,Amapa,jun,2,1/1/05
2006,Amapa,jun,0,1/1/06
2007,Amapa,jun,0,1/1/07
2008,Amapa,jun,0,1/1/08
2009,Amapa,jun,1,1/1/09
2010,Amapa,jun,0,1/1/10
2011,Amapa,jun,0,1/1/11
2012,Amapa,jun,7,1/1/12
2013,Amapa,jun,1,1/1/13
2014,Amapa,jun,0,1/1/14
2015,Amapa,jun,3,1/1/15
2016,Amapa,jun,2,1/1/16
2017,Amapa,jun,2,1/1/17
1998,Amapa,jul,0,1/1/98
1999,Amapa,jul,0,1/1/99
2000,Amapa,jul,0,1/1/00
2001,Amapa,jul,1,1/1/01
2002,Amapa,jul,1,1/1/02
2003,Amapa,jul,0,1/1/03
2004,Amapa,jul,2,1/1/04
2005,Amapa,jul,0,1/1/05
2006,Amapa,jul,0,1/1/06
2007,Amapa,jul,0,1/1/07
2008,Amapa,jul,0,1/1/08
2009,Amapa,jul,4,1/1/09
2010,Amapa,jul,2,1/1/10
2011,Amapa,jul,5,1/1/11
2012,Amapa,jul,3,1/1/12
2013,Amapa,jul,1,1/1/13
2014,Amapa,jul,4,1/1/14
2015,Amapa,jul,5,1/1/15
2016,Amapa,jul,1,1/1/16
2017,Amapa,jul,3,1/1/17
1998,Amapa,aug,1,1/1/98
1999,Amapa,aug,0,1/1/99
2000,Amapa,aug,3,1/1/00
2001,Amapa,aug,12,1/1/01
2002,Amapa,aug,18,1/1/02
2003,Amapa,aug,14,1/1/03
2004,Amapa,aug,9,1/1/04
2005,Amapa,aug,4,1/1/05
2006,Amapa,aug,11,1/1/06
2007,Amapa,aug,5,1/1/07
2008,Amapa,aug,4,1/1/08
2009,Amapa,aug,20,1/1/09
2010,Amapa,aug,1,1/1/10
2011,Amapa,aug,16,1/1/11
2012,Amapa,aug,19,1/1/12
2013,Amapa,aug,9,1/1/13
2014,Amapa,aug,18,1/1/14
2015,Amapa,aug,40,1/1/15
2016,Amapa,aug,37,1/1/16
2017,Amapa,aug,33,1/1/17
1998,Amapa,sep,20,1/1/98
1999,Amapa,sep,4,1/1/99
2000,Amapa,sep,19,1/1/00
2001,Amapa,sep,95,1/1/01
2002,Amapa,sep,73,1/1/02
2003,Amapa,sep,88,1/1/03
2004,Amapa,sep,67,1/1/04
2005,Amapa,sep,97,1/1/05
2006,Amapa,sep,112,1/1/06
2007,Amapa,sep,61,1/1/07
2008,Amapa,sep,83,1/1/08
2009,Amapa,sep,188,1/1/09
2010,Amapa,sep,63,1/1/10
